nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvedor(a) Angular / Python Pleno","Angular,Python,JavaScript","Anne Solutions,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Estagiário(a) WP","CSS,HTML,WordPress","ProcessDev,Remoto,Pequena/média empresa,Até R$1.000,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Estagiário(a) WP","CSS,HTML,WordPress","ProcessDev,Remoto,Pequena/média empresa,Até R$1.000,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Senior Full Stack Developer","CSS,Docker,JavaScript,Node.js,TypeScript,Angular","soulsys,Campinas, São Paulo, Brasil,Startup,Até R$12.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Software Pleno","PostgreSQL,SQL,DevOps,JavaScript,NoSQL,Node.js","PADO S.A,Cambé, Paraná, Brasil,Grande empresa,Até R$10.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack (React e C#)","C#,Git,NoSQL,ReactJS,SQL","SMGBit,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Web ASP.NET MVC/API",".NET,SQL,C#,JavaScript,RESTful","2morrow Sports,Ribeirão Preto, São Paulo, Brasil,Startup,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Sênior","Java,JSF,React Native,SQL Server","Synchro Soluções fiscais,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Backend PHP Pleno","JavaScript,Laravel,PHP,PostgreSQL,SCRUM","Camila Motta Consultoria,São Luís, Maranhão, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Full-Stack Java Developer - REF 102 - 13","Angular,AWS S3,Java,JavaScript,MongoDB","Xogito Group,Remoto,Pequena/média empresa,Acima de R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Frontend Pleno","Angular,JavaScript,ReactJS","Tour House,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET Sênior","Azure,.NET,SQL","TECNOSINC DO BRASIL,São Paulo, São Paulo, Brasil,Startup,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Estágio Legal Proxy - Full Stack","Cloud,CSS,Django,JavaScript,Python,Vue.js","Legal Proxy,Remoto,Startup,Até R$1.500,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) PLENO ","C#,JavaScript,Kanban,MySQL,SQL","AFIPE - Associação filhos do Pai Eterno ,Goiânia, Goiás, Brasil,Pequena/média empresa,Até R$8.000,Pleno,CLT,Não aceita candidatos de fora"
